date,mid_price
32:01.3,18971.355
32:01.4,18971.12
32:01.5,18971.085
32:01.6,18971.61
32:01.7,18971.575
32:01.8,18971.65
32:01.9,18971.645
32:02.0,18971.65
32:02.1,18972.145
32:02.2,18971.925
32:02.3,18971.92
32:02.4,18972.48
32:02.5,18972.48
32:02.6,18972.27
32:02.7,18972.31
32:02.8,18972.26
32:02.9,18972.615
32:03.0,18972.285
32:03.1,18973.785
32:03.2,18973.245
32:03.3,18973.19
32:03.4,18972.995
32:03.5,18973.475
32:03.6,18972.985
32:03.7,18974.515
32:03.8,18973.485
32:03.9,18973.5
32:04.0,18972.09
32:04.1,18972.73
32:04.2,18972.725
32:04.3,18972.745
32:04.4,18973.14
32:04.5,18973.7
32:04.6,18973.735
32:04.7,18973.61
32:04.8,18973.6
32:04.9,18973.125
32:05.0,18973.055
32:05.1,18972.855
32:05.2,18973.06
32:05.3,18973.755
32:05.4,18973.54
32:05.5,18973.365
32:05.6,18973.17
32:05.7,18973.16
32:05.8,18973.06
32:05.9,18970.885
32:06.0,18970.54
32:06.1,18970.325
32:06.2,18970.3
32:06.3,18970.3
32:06.4,18970.295
32:06.5,18970.265
32:06.6,18970.625
32:06.7,18970.62
32:06.8,18970.445
32:06.9,18970.165
32:07.0,18967.795
32:07.1,18968.275
32:07.2,18968.525
32:07.3,18968.54
32:07.4,18968.54
32:07.5,18968.56
32:07.6,18968.58
32:07.7,18968.355
32:07.8,18968.505
32:07.9,18968.735
32:08.0,18969.725
32:08.1,18969.735
32:08.2,18969.8
32:08.3,18969.575
32:08.4,18969.535
32:08.5,18969.545
32:08.6,18969.175
32:08.7,18968.615
32:08.8,18969.285
32:08.9,18969.56
32:09.0,18969.525
32:09.1,18969.775
32:09.2,18969.88
32:09.3,18969.72
32:09.4,18969.74
32:09.5,18969.665
32:09.6,18969.665
32:09.7,18969.67
32:09.8,18969.665
32:09.9,18969.665
32:10.0,18968.83
32:10.1,18968.59
32:10.2,18968.51
32:10.3,18968.52
32:10.4,18968.68
32:10.5,18969.1
32:10.6,18969.09
32:10.7,18969.08
32:10.8,18969.08
32:10.9,18969.155
32:11.0,18968.965
32:11.1,18968.96
32:11.2,18968.955
32:11.3,18968.955
32:11.4,18969.325
32:11.5,18969.575
32:11.6,18969.275
32:11.7,18969.355
32:11.8,18969.81
32:11.9,18969.94
32:12.0,18969.945
32:12.1,18969.78
32:12.2,18969.78
32:12.3,18969.935
32:12.4,18969.89
32:12.5,18969.965
32:12.6,18969.935
32:12.7,18969.935
32:12.8,18969.755
32:12.9,18969.795
32:13.0,18969.805
32:13.1,18969.8
32:13.2,18970.025
32:13.3,18970.01
32:13.4,18970.015
32:13.5,18970.025
32:13.6,18970.025
32:13.7,18969.515
32:13.8,18969.52
32:13.9,18969.535
32:14.0,18969.535
32:14.1,18969.535
32:14.2,18969.675
32:14.3,18969.675
32:14.4,18969.73
32:14.5,18970.01
32:14.6,18970.005
32:14.7,18970.005
32:14.8,18968.09
32:14.9,18967.865
32:15.0,18967.855
32:15.1,18967.98
32:15.2,18968.71
32:15.3,18968.785
