Date,Open,High,Low,Close,Adj Close,Volume
9/22/21,143.470001,143.600006,142.289993,142.690002,140.445831,5014800
9/23/21,143.220001,143.630005,142.449997,142.770004,140.524582,5195100
9/24/21,142.5,143.690002,142.490005,143.169998,140.918274,4453500
9/27/21,142.869995,143.550003,141.839996,142.25,140.012756,7083600
9/28/21,141.880005,142.070007,139.990005,140.5,138.290268,6860300
9/29/21,140.649994,141.830002,140.320007,140.440002,138.231216,7125200
9/30/21,140.639999,141.729996,139.25,139.380005,137.187897,7485900
10/1/21,139.259995,139.630005,135.919998,137.050003,134.894531,10004800
10/4/21,137.089996,138.229996,134.710007,135.729996,133.595276,9990100
10/5/21,135.949997,137.710007,135.899994,136.619995,134.471283,6865800
10/6/21,136.240005,137.789993,136.130005,137.619995,135.455566,6458900
10/7/21,138.779999,140.699997,138.759995,139.240005,137.05011,7022700
10/8/21,139.660004,140.089996,139.009995,139.660004,137.463486,4615800
10/11/21,139.520004,140.779999,139.440002,139.529999,137.33551,4349400
10/12/21,139.339996,140.410004,139.070007,139.380005,137.187897,5263100
10/13/21,139.5,140.009995,138.130005,138.369995,136.193771,5979300
10/14/21,138.5,140.070007,138.5,139.869995,137.670166,6594500
10/15/21,140.619995,141.100006,139.960007,140.550003,138.339478,6912400
10/18/21,140,142.009995,139.830002,141.679993,139.451691,6629000
10/19/21,144.630005,145.610001,143.660004,144.690002,142.414383,11148100
10/20/21,144.889999,146.490005,144.889999,146,143.703766,5817900
10/21/21,146.580002,146.919998,145.809998,146.809998,144.501022,4651500
10/22/21,147.100006,149.690002,147.100006,148.339996,146.006958,7065200
10/25/21,148.779999,150.520004,148.009995,150.059998,147.699921,6429300
10/26/21,150,150.550003,148.460007,148.75,146.410507,5806200
10/27/21,148.960007,149.020004,147.389999,147.529999,145.209702,4855200
10/28/21,148.339996,148.979996,147.710007,148.449997,146.115219,4199500
10/29/21,147.910004,150.100006,147.559998,149.419998,147.069977,7340900
11/1/21,149.979996,150.75,149.350006,149.789993,147.434158,4183200
11/2/21,149.970001,150.179993,149.279999,149.720001,147.36525,4546300
11/3/21,149.600006,150.289993,149.029999,150.179993,147.818024,4736500
11/4/21,150.179993,151.850006,149.830002,151.279999,148.900742,5049700
